Wall time,Step,Value
1702174927.093145,4879670,51.0
1702174935.6355357,4895910,52.0
1702174938.3648136,4901030,52.0
1702174940.0048969,4903860,53.0
1702174943.6728811,4910690,54.0
1702174943.8815012,4911240,52.0
1702174945.542078,4914210,49.0
1702174945.8082435,4914910,55.0
1702174946.1465812,4915340,54.0
1702174946.1956255,4915470,54.0
1702174946.3622215,4915910,52.0
1702174946.8015065,4916570,54.0
1702174947.1825638,4917560,55.0
1702174947.545068,4918030,53.0
1702174949.0419068,4920920,53.0
1702174949.588817,4921880,53.0
1702174951.9592402,4926600,53.0
1702174952.8867948,4928060,53.0
1702174953.0212843,4928410,51.0
1702174955.062547,4932100,51.0
1702174957.8267093,4937310,49.0
1702174960.0964382,4941780,54.0
1702174960.800232,4943080,48.0
1702174962.7134187,4946620,53.0
1702174964.5053337,4949840,52.0
1702174965.963321,4952670,52.0
1702174966.7139413,4954150,51.0
1702174966.9169354,4954670,53.0
1702174968.698398,4957650,51.0
1702174971.6838942,4963310,54.0
1702174972.4971588,4964930,51.0
1702174973.0095673,4965790,54.0
1702174973.8364987,4967440,52.0
1702174974.438222,4968520,54.0
1702174976.5230503,4972390,53.0
1702174979.1318684,4977020,52.0
1702174979.9255724,4978390,51.0
1702174981.3298886,4980980,54.0
1702174983.2278752,4984370,54.0
1702174986.5012095,4990530,55.0
1702174989.8053522,4996530,48.0
1702174991.644777,4999720,54.0
1702174992.3807585,5000970,52.0
1702174997.5963168,5010600,50.0
1702175007.452733,5029120,51.0
1702175009.325342,5032480,52.0
1702175009.3940449,5032650,54.0
1702175009.8792853,5033430,52.0
1702175010.4663463,5034480,54.0
1702175013.005535,5039280,54.0
1702175013.5772135,5040180,55.0
1702175014.7530928,5042240,51.0
1702175014.8458676,5042470,55.0
1702175015.3558605,5043310,55.0
1702175017.0126126,5046390,54.0
1702175017.091112,5046590,53.0
1702175018.3950272,5048980,50.0
1702175018.8473828,5049680,52.0
1702175022.7246535,5057220,53.0
1702175024.3992658,5060090,53.0
1702175026.591972,5064210,51.0
1702175031.6663096,5073650,50.0
1702175037.1285284,5083440,54.0
1702175043.026265,5094240,50.0
1702175044.865478,5097440,53.0
1702175046.9896135,5101320,51.0
1702175051.0914772,5108780,54.0
1702175051.4856355,5109740,54.0
1702175051.890149,5110310,53.0
1702175054.6731873,5115230,54.0
1702175056.2864974,5118280,54.0
1702175057.5095096,5120280,52.0
1702175057.8913882,5121190,48.0
1702175059.1125717,5123260,51.0
1702175061.2884746,5127330,47.0
1702175063.1133752,5130340,54.0
1702175063.4596262,5131110,52.0
1702175067.6462111,5138500,54.0
1702175070.52985,5143850,48.0
1702175075.1295197,5152240,54.0
1702175077.1995645,5155980,53.0
1702175077.540522,5156820,54.0
1702175079.6159182,5160590,52.0
1702175084.3817317,5169560,48.0
1702175085.040652,5170830,52.0
1702175090.2048995,5180610,-5545.0
1702175091.506838,5182970,53.0
1702175091.9178214,5183990,53.0
1702175092.3980885,5184750,51.0
1702175095.059724,5189640,54.0
1702175098.1262124,5195410,53.0
1702175098.3935788,5195640,52.0
1702175099.1125128,5197010,51.0
1702175101.4636967,5201550,54.0
1702175102.016103,5202490,52.0
1702175103.307251,5204810,52.0
1702175104.586016,5207070,54.0
1702175106.8295836,5211400,54.0
1702175112.4143906,5221350,54.0
1702175113.2028334,5222900,55.0
1702175118.843661,5233280,55.0
1702175122.302939,5239600,52.0
1702175124.2967472,5243190,53.0
1702175130.8546546,5255560,51.0
1702175133.544199,5260600,54.0
1702175134.221394,5261740,54.0
1702175136.7203152,5266020,53.0
1702175136.8497655,5266340,55.0
1702175141.1879046,5274520,54.0
1702175143.1673143,5278040,54.0
1702175143.966143,5279610,54.0
1702175144.322498,5280070,53.0
1702175145.0479336,5281450,55.0
1702175145.3224783,5282120,53.0
1702175148.6016362,5288130,53.0
1702175149.1657238,5289110,54.0
1702175154.314794,5298870,54.0
1702175156.428378,5302490,51.0
1702175159.9040344,5308800,53.0
1702175163.9951456,5316270,55.0
1702175164.6607058,5317450,53.0
1702175165.5010753,5318970,47.0
1702175168.293407,5323890,51.0
1702175170.5580251,5328210,54.0
1702175175.520813,5337400,53.0
1702175176.7235491,5339590,54.0
1702175177.1500378,5340240,54.0
1702175180.340371,5346350,51.0
1702175180.8088026,5347100,47.0
1702175185.543024,5356040,53.0
1702175186.819281,5358440,53.0
1702175187.1123915,5359200,48.0
1702175188.504149,5361790,54.0
1702175190.3605614,5365170,53.0
1702175190.970014,5366230,54.0
1702175191.4718678,5367070,54.0
1702175192.5646589,5369410,52.0
1702175192.921794,5369880,54.0
1702175193.7907143,5371640,54.0
1702175193.9966862,5372160,51.0
1702175194.5038755,5373000,53.0
1702175197.4039142,5378460,49.0
1702175197.7891881,5379000,53.0
1702175197.9324677,5379340,54.0
1702175198.6082287,5380600,-17239.0
1702175201.2843032,5385530,49.0
1702175202.772295,5388410,54.0
1702175203.1069167,5388820,49.0
1702175203.207122,5389080,55.0
1702175203.375377,5389500,47.0
1702175204.0717902,5390830,48.0
1702175210.6784222,5402950,51.0
1702175211.0418744,5403900,53.0
1702175214.1982758,5409880,48.0
1702175214.3112242,5410190,49.0
1702175218.5686164,5418330,52.0
1702175218.8457098,5419090,51.0
1702175219.395632,5420050,52.0
1702175220.711396,5422610,48.0
1702175221.8129783,5424670,53.0
1702175223.3100321,5427800,55.0
1702175227.2620773,5435010,55.0
1702175227.4277093,5435430,54.0
1702175228.998684,5438440,51.0
1702175229.448461,5439150,54.0
1702175232.331222,5444610,53.0
